group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"btree_insert 1,000",,,,,2709878.0,ns,1
"btree_insert 1,000",,,,,4979434.0,ns,2
"btree_insert 1,000",,,,,7554833.0,ns,3
"btree_insert 1,000",,,,,11094499.0,ns,4
"btree_insert 1,000",,,,,13223726.0,ns,5
"btree_insert 1,000",,,,,15955189.0,ns,6
"btree_insert 1,000",,,,,18278752.0,ns,7
"btree_insert 1,000",,,,,20789465.0,ns,8
"btree_insert 1,000",,,,,22938187.0,ns,9
"btree_insert 1,000",,,,,26066138.0,ns,10
"btree_insert 1,000",,,,,28036326.0,ns,11
"btree_insert 1,000",,,,,30582600.0,ns,12
"btree_insert 1,000",,,,,33475966.0,ns,13
"btree_insert 1,000",,,,,36606002.0,ns,14
"btree_insert 1,000",,,,,38051318.0,ns,15
"btree_insert 1,000",,,,,40917686.0,ns,16
"btree_insert 1,000",,,,,43273181.0,ns,17
"btree_insert 1,000",,,,,46818425.0,ns,18
"btree_insert 1,000",,,,,48450429.0,ns,19
"btree_insert 1,000",,,,,55282018.0,ns,20
"btree_insert 1,000",,,,,53765159.0,ns,21
"btree_insert 1,000",,,,,55599307.0,ns,22
"btree_insert 1,000",,,,,59739054.0,ns,23
"btree_insert 1,000",,,,,62798389.0,ns,24
"btree_insert 1,000",,,,,64204568.0,ns,25
"btree_insert 1,000",,,,,68269991.0,ns,26
"btree_insert 1,000",,,,,69752581.0,ns,27
"btree_insert 1,000",,,,,75989198.0,ns,28
"btree_insert 1,000",,,,,75401326.0,ns,29
"btree_insert 1,000",,,,,77802846.0,ns,30
"btree_insert 1,000",,,,,80199602.0,ns,31
"btree_insert 1,000",,,,,82237669.0,ns,32
"btree_insert 1,000",,,,,84296100.0,ns,33
"btree_insert 1,000",,,,,88581010.0,ns,34
"btree_insert 1,000",,,,,92972781.0,ns,35
"btree_insert 1,000",,,,,92893929.0,ns,36
"btree_insert 1,000",,,,,95251187.0,ns,37
"btree_insert 1,000",,,,,101144767.0,ns,38
"btree_insert 1,000",,,,,102428629.0,ns,39
"btree_insert 1,000",,,,,104798817.0,ns,40
"btree_insert 1,000",,,,,105044101.0,ns,41
"btree_insert 1,000",,,,,109462904.0,ns,42
"btree_insert 1,000",,,,,110081827.0,ns,43
"btree_insert 1,000",,,,,114017211.0,ns,44
"btree_insert 1,000",,,,,117814019.0,ns,45
"btree_insert 1,000",,,,,119089032.0,ns,46
"btree_insert 1,000",,,,,122439127.0,ns,47
"btree_insert 1,000",,,,,124024156.0,ns,48
"btree_insert 1,000",,,,,128548961.0,ns,49
"btree_insert 1,000",,,,,131741681.0,ns,50
"btree_insert 1,000",,,,,131541961.0,ns,51
"btree_insert 1,000",,,,,135746801.0,ns,52
"btree_insert 1,000",,,,,138468034.0,ns,53
"btree_insert 1,000",,,,,139950678.0,ns,54
"btree_insert 1,000",,,,,147771992.0,ns,55
"btree_insert 1,000",,,,,150478655.0,ns,56
"btree_insert 1,000",,,,,148137176.0,ns,57
"btree_insert 1,000",,,,,148594806.0,ns,58
"btree_insert 1,000",,,,,151286512.0,ns,59
"btree_insert 1,000",,,,,158238214.0,ns,60
"btree_insert 1,000",,,,,158188198.0,ns,61
"btree_insert 1,000",,,,,159251873.0,ns,62
"btree_insert 1,000",,,,,163638752.0,ns,63
"btree_insert 1,000",,,,,165478354.0,ns,64
"btree_insert 1,000",,,,,169929445.0,ns,65
"btree_insert 1,000",,,,,174257038.0,ns,66
"btree_insert 1,000",,,,,175869959.0,ns,67
"btree_insert 1,000",,,,,178785775.0,ns,68
"btree_insert 1,000",,,,,181339737.0,ns,69
"btree_insert 1,000",,,,,178690863.0,ns,70
"btree_insert 1,000",,,,,184487548.0,ns,71
"btree_insert 1,000",,,,,187994650.0,ns,72
"btree_insert 1,000",,,,,190220786.0,ns,73
"btree_insert 1,000",,,,,195458466.0,ns,74
"btree_insert 1,000",,,,,194813555.0,ns,75
"btree_insert 1,000",,,,,195450829.0,ns,76
"btree_insert 1,000",,,,,202375667.0,ns,77
"btree_insert 1,000",,,,,207723552.0,ns,78
"btree_insert 1,000",,,,,206463617.0,ns,79
"btree_insert 1,000",,,,,207472676.0,ns,80
"btree_insert 1,000",,,,,207855442.0,ns,81
"btree_insert 1,000",,,,,215178402.0,ns,82
"btree_insert 1,000",,,,,215714172.0,ns,83
"btree_insert 1,000",,,,,220415217.0,ns,84
"btree_insert 1,000",,,,,217912702.0,ns,85
"btree_insert 1,000",,,,,223216410.0,ns,86
"btree_insert 1,000",,,,,228296817.0,ns,87
"btree_insert 1,000",,,,,226209425.0,ns,88
"btree_insert 1,000",,,,,231627152.0,ns,89
"btree_insert 1,000",,,,,230843715.0,ns,90
"btree_insert 1,000",,,,,239017717.0,ns,91
"btree_insert 1,000",,,,,238447370.0,ns,92
"btree_insert 1,000",,,,,242574413.0,ns,93
"btree_insert 1,000",,,,,241365419.0,ns,94
"btree_insert 1,000",,,,,247432383.0,ns,95
"btree_insert 1,000",,,,,253217925.0,ns,96
"btree_insert 1,000",,,,,252877713.0,ns,97
"btree_insert 1,000",,,,,251266975.0,ns,98
"btree_insert 1,000",,,,,256866055.0,ns,99
"btree_insert 1,000",,,,,260491028.0,ns,100
